,Zip_Code,Council_District,Total_Units,Total_Affordable_Units,Total_Accessible_Units,Total_Permanent_Support,Unit_Type,Tenure,Status,Affordability_Start_Year,Affordability_Expiration_Year,Affordability_Period,Units_Under_50_Percent_MFI,Market_Rate_Units,Voluntary,City_Amount
23,78723,1,4,4.0,3.0,4.0,FourPlex,Rental,7. Project Completed,2012,2111,99,4,0,No,193720.0
24,78702,1,1,1.0,0.0,0.0,Single Family,Rental,7. Project Completed,2009,2108,99,0,0,No,95416.67
25,78722,1,8,8.0,1.0,0.0,Multifamily,Rental,7. Project Completed,2011,2026,15,8,0,No,491919.0
26,78722,1,1,1.0,0.0,0.0,Single Family,Rental,7. Project Completed,2003,2023,20,0,0,No,36666.67
27,78741,3,6,6.0,2.0,0.0,Multifamily,Rental,8. Affordability Period Expired,2005,2015,10,6,0,No,181717.0
28,78702,1,2,2.0,0.0,0.0,Duplex,Rental,7. Project Completed,2008,2048,40,2,0,No,125000.0
29,78702,1,1,1.0,0.0,0.0,Single Family,Rental,7. Project Completed,2009,2108,99,0,0,No,95416.67
30,78722,1,1,1.0,0.0,0.0,Single Family,Rental,7. Project Completed,2003,2023,20,0,0,No,36666.67
31,78702,1,1,1.0,0.0,0.0,Single Family,Rental,7. Project Completed,2008,2048,40,1,0,No,125000.0
32,78705,9,50,50.0,0.0,0.0,Multifamily,Rental,7. Project Completed,2009,2039,30,50,0,No,837500.0
33,78702,3,56,56.0,8.0,0.0,Multifamily,Rental,7. Project Completed,2003,2078,75,56,0,No,466715.0
34,78723,1,4,4.0,0.0,0.0,FourPlex,Rental,7. Project Completed,2009,2108,99,4,0,No,254421.0
35,78741,3,120,120.0,15.0,25.0,Multifamily,Rental,7. Project Completed,2011,2110,99,120,0,No,2000000.0
36,78745,3,238,238.0,29.0,0.0,Multifamily,Rental,7. Project Completed,2010,2109,99,119,0,No,3000000.0
